RefDes,Category,Description,Manufacturer,Part Number,Package,Qty,Unit Price (USD),Total Price (USD),Supplier,Supplier Part Number,Notes
ANT1,Antenna,LoRa Antenna 868/915MHz,Generic,868MHz 3dBi,SMA/U.FL,1,5.00,5.00,AliExpress,Generic,External LoRa antenna
ANT2,Antenna,433MHz Antenna,Generic,433MHz 3dBi,SMA/U.FL,1,3.00,3.00,AliExpress,Generic,External CC1101 antenna
ANT3,Antenna,2.4GHz Antenna,Generic,2.4GHz 2dBi,SMA/U.FL,1,2.00,2.00,AliExpress,Generic,External NRF24 antenna
ANT4,Antenna,GPS Active Antenna,Generic,GPS 28dB gain,SMA/U.FL,1,8.00,8.00,AliExpress,Generic,External GPS active antenna
,,,,,,,,,,
,,,,,SUBTOTAL (Components),,,,88.69,
,,,,,PCB Manufacturing (JLCPCB 4-layer 100x80mm 5pcs),,,,30.00,Estimated for 5 boards
,,,,,Shipping & Handling,,,,15.00,Estimated
,,,,,,,TOTAL ESTIMATED COST,,,133.69,Per board (1-off with shipping)
,,,,,,,TOTAL (10 boards),,,,~110.00,Per board with volume discount
